Date,ppt (inches),tmin (degrees F),tmean (degrees F)
2016-02,0.82,42.2,53.4
2016-03,4.51,44.5,55.1
2016-04,2.86,47.6,61.5
2016-05,0.04,51.6,67.1
2016-06,0.13,59.7,77.8
2016-07,0,63.8,82.4
2016-08,0,64.4,81.9
2016-09,0,56.2,74.2
2016-10,1.56,50.4,65.1
2016-11,1.57,44.6,56.8
2016-12,3.81,36.5,46
2017-01,10.73,39.3,46.2
2017-02,5.14,44.1,52
2017-03,1.33,44,55.2
2017-04,1.74,45.7,58.5
2017-05,0.03,51.2,67.5
2017-06,0.08,59.6,77.3
2017-07,0,66.2,84.4
2017-08,0,67.1,83.8
2017-09,0.35,58.9,75.1
2017-10,0.17,49.1,65.3
2017-11,1.07,45.6,57
2017-12,0.1,35.6,48.5
2018-01,1.8,41.5,51.5
